"Titel";"ISBN";"Verfasser";"PPN";"Jahr"
"Language learning strategies around the world : cross-cultural perspectives";"0824819101";"ed. by Rebecca Oxford";"115966689X";"2000";
"Theaterspiele : Spontaneität, Improvisation und Theatersport";"9783895810015";"Keith Johnstone. Dt. von Christine und Petra Schreyer";"322659892";"2000";
"Entspannungstraining mit Yogaelementen in der Schule : wie man Belastungen abbauen kann. - Handbuch. mit 33 Kopiervorlagen für Arbeitsblätter";"3-403-03106-3";"Marcus Stück";"1160115419";"2000";
"Learning English - Red line new : Unterrichtswerk für Realschulen. - 3, [Schulerbuch].";"3125464307";"";"1160147353";"2000";
"Was kommt auf uns zu? : Erziehen zwischen Sorge und Zuversicht ; [Veröffentlichung der Salzburger Internationalen Pädagogischen Werktagung, Tagungsbericht der 49. Tagung 2000]";"3209034893";"hrsg. von Anton A. Bucher ... [Veranst. der Tagung: Katholisches Bildungswerk Salzburg]";"324379544";"2000";
"Am Anfang steht ein Blick zum Mond : die Entdeckung unserer Stellung im Weltraum";"3831102511";"Reinhart Behr";"328313718";"2000";
"Kunst-Stücke : für das ... Schuljahr. - 3, Lehrerband.";"3122030136";"";"116067695X";"2000";
"Geometrie : Lehrskizzen, Tafelbilder, Arbeitsblätter, Folienvorlagen. - 8.";"3892913447";"Karl-Hans Seyler";"1160723672";"2000";
"Deutsch als Fremdsprache : zur Grundlegung eines Curriculums für den Deutschunterricht in Georgien ; Rahmenbedingungen, historische Entwicklung und gegenwärtige Tendenzen";"3825850927";"Ekaterine Shaverdashvili";"319367843";"2000";
"Reportage Scotland : history in the making";"0-946487-61-8";"Louise Yeoman";"1617039926";"2000";
"Scotland : a concise history";"0500282331";"Fitzroy Maclean";"315839619";"2000";
"¬Das¬ große Styling-Buch : Fashion, Beauty, Accessoires";"3-8000-3805-6";"Irmie Schüch-Schamburek";"320337073";"2000";
"Teacher education";"0939791811";"TESOL. Ed. by Karen E. Johnson";"316211486";"2000";
"Lernen unter Wasser : theoretische und praktische Überlegungen zum Sporttauchen als erlebnispädagogische Möglichkeit";"3895690473";"Ernst-Rainer Lesch; Gabriele Jarochowski-Lesch. Mit einem Vorw. v. Torsten Fischer";"327139951";"2000";
"This sceptred isle";"0-563-38384-4";"Christopher Lee";"1617471259";"2000";
"Bildung oder Ausbildung? : Schule und Beruf - Jugendarbeitslosigkeit - Reform der LehrerInnenbildung ; Vorträge und Diskussionen des 8. Internationalen Glöckel-Symposions '99";"3209035032";"hrsg. von Oskar Achs ...";"327977825";"2000";
"Bildungsmarketing : Impulse für die Schulentwicklung";"3905905043";"Walter Goetze";"319622290";"2000";
"Abschlussprüfung Deutsch. - Hauptschule.";"3464606015";"";"1161948686";"2000";
"Class in Britain";"9780140249545";"David Cannadine";"306815761";"2000";
"Geowissenschaftliche Erziehung im Schullandheim : theoretische Grundlegung und methodische Strukturierung für ein Konzept zur Einrichtung eines Studienhauses Geographie/Geologie im Schullandheim Bauersberg bei Bischofsheim an der Rhön";"3924051976";"Peter Pfriem. Bayerische Akademie für Schullandheimpädagogik Burgthann";"329988859";"2000";
"Handreichung zur Mobilitäts- und Verkehrserziehung : fächerübergreifende und fächerverbindende Integration";"3896859056";"Ministerium für Bildung, Jugend und Sport, Land Brandenburg. [Autorinnen und Autoren: Frank Burchert ... Verantw.: Roland Klett]";"333327020";"2000";
"Textilarbeit Schritt für Schritt";"3582075214";"von Cornelia A. Schlieper";"310649315";"2000";
"Unterrichtsqualität an Schweizer Schulen : Grundlagen, Instrumente, Praxis ; Hilfen zur Steigerung und Sicherung der pädagogischen Wirksamkeit ; [mit integrierter CD-ROM]";"3264832968";"Richard Bessoth; Walter Weibel. Beratung und Unterstützung: Peter Aschwanden ...";"364682485";"2000";
"Von der Wiege bis zur Bahre : ethische Wechselfälle des Lebens";"3891111614";"Jürgen Schwarz";"334943388";"2000";
"¬The¬ Allyn and Bacon guide to Writing Center : theory and practice";"0205321860";"Robert W. Barnett, Jacob S. Blummer";"1620414864";"2000";
"¬Der¬ Islam";"357020751X";"Roberto Mancini... Aus dem Ital. von Nicola Bardola. Ill. von Alessandro Baldanzi; Giovanni Ballati; Giovanni Meroi";"324712804";"2000";
"Weltreligionen";"3788606681";"von Annett Hausten; Jürgen Kehnscherper und Wolfgang Mochmann. Ill. von Peter Klaucke";"329804898";"2000";
"Dreaming in color, living in black and white : our own stories of growing up Black in America";"0-671-04127-4";"Laurel Holliday";"1621236439";"2000";
"Twentieth-century Irish drama : mirror up to nation";"9780815606437";"Christopher Murray";"308803779";"2000";
"Kinder- und Jugendtheater in Österreich";"376380529X";"Wolfgang Schneider (Hrsg.)";"330480243";"2000";
"Wirtschaften im Haushalt. - Arbeitsheft fur Schuler. 1. Aufl., [Nachdr.] - 2000";"3895170623";"";"1166399788";"2000";
"Wirtschaften im Alltag. - Arbeitsheft fur Schuler. 1. Aufl., [Nachdr.] - 2000";"3895170607";"";"1166402134";"2000";
"Lernwerkstatt So war es früher";"3-932519-63-9";"Anja Gröting. Ill.: Ela Stricker";"564177849";"2000";
"¬Das¬ Schlagzeug in der Socke : Rhythmusübungen mit dem eigenen Schlagzeug";"3891110456";"Michael Bromm";"1167805666";"2000";
"Ballspielen : ein integrativer Ansatz für Grundschule, Orientierungsstufe, Sportverein";"3928695053";"Michael Medler; Arnd Schuster";"1624993761";"2000";
"[Abraham, Moses and Co.] Abraham, Moses & Co. : Leben zur Zeit des Alten Testaments ; eine Mappe zum Basteln, Malen, Kochen, Spielen, Lernen";"3860724851";"Nancy I. Sanders. [Ill.: Fran Lee. Übers.: Rita Kloosterziel]";"31515036X";"2000";
"Wie interpretiere ich Lyrik?. - [2]. Wie interpretiere ich Lyrik? : Schritt für Schritt; Gedichte und ihre Interpretationsaufsätze; ein epochenbezogenes Kompendium für Lehrer und ein Übungsbuch für Schüler der Mittel- und Oberstufe; [Anleitung]";"3804414338";"Thomas Brand";"1170636837";"2000";
"Alfred Andersch, Fahrerflucht";"3506223453";"erarb. von Gerd Weber. Hrsg. von Johannes Diekhans";"1629039454";"2000";
"Abenteuer Schulentwicklung";"3901535373";"Joachim Keppelmüller ... (Hrsg.)";"354863258";"2000";
"Exkursion Grimsel und Oberhasli : Natur- und Kraftwerklandschaft im Spannungsfeld zwischen Ökonomie und Ökologie";"3906151387";"Werner Eugster und Michel Piot. Geographisches Institut der Universität Bern";"1174298472";"2000";
"Teaching integrated arts in the primary school : dance, drama, music, and the visual arts";"1-85346-660-3";"Anne Bloomfield with John Childs";"1604862874";"2000";
"Tasks for language teachers : a resource book for training and development";"0-521-42666-9";"Martin Parrott";"1605633542";"2000";
"Literatur-Kartei zum Roman von Benjamin Lebert "Crazy"";"3860724967";"Irmgard Amelung; Silke Guthahn";"1608522415";"2000";
"¬Die¬ Pädagogik Mahatma Gandhis und Paulo Freires im Vergleich";"3-86585-106-1";"Britta Behrens; Maleika Dotschkal; Sarah Schumacher";"350991170";"2000";
"¬Das¬ große Buch Dreamweaver 3";"3815814340";"Herbert Bauer";"316315893";"2000";
"Managerkonferenz : effektives Führungstraining";"3453091604";"Thomas Gordon. Aus dem Amerikan. von Hainer Kober";"1612965407";"2000";
"¬Der¬ dritte Weg : die Erneuerung der sozialen Demokratie";"351841044X";"Anthony Giddens. Aus d. Engl. von Bettina Engels ...";"1614600309";"2000";
" Frankreich : die wunderbare Illusion";"3453152816";"Ulrich Wickert";"327094206";"2000";
"Betriebswirtschaftslehre der Unternehmung. - [Hauptbd.].";"3808592168";"";"1153727765";"2000";
"Teamentwicklung : wie Kindergärten TOP werden";"3472038799";"Ludger Pesch; Verena Sommerfeld";"161031820X";"2000";
"¬Die¬ ersten Tage in der Krippe : ein Modell für die Gestaltung der Eingewöhnungssituation";"3472038780";"Hans-Joachim Laewen; Beate Andres; Eva Hédervári";"319444678";"2000";
"Viele Ideen - ein Profil : Methoden der Leitbildentwicklung und Zielbestimmung für engagierte Teams";"3769812387";"Bruno Bongard/Franz Schwarzkopf";"320000052";"2000";
"Neue Wege in der Kommunalpolitik : durch eine Bürger- und Sozialkultur zur aktiven Bürgergesellschaft";"3782504119";"hrsg. von Alois Glück und Holger Magel";"314714383";"2000";
"Mama, was ist Auschwitz?";"3898340090";"Annette Wieviorka. Aus dem Franz. von Manfred Flügge";"1617225924";"2000";
"Team und Kommunikation : Theorie und Praxis";"379414791X";"Kristian Kunert; Marcus Knill";"326864768";"2000";
"Rundstricken : Theorie und Praxis der Maschentechnik";"3-87525-132-6";"Iyer; Mammel; Schäch";"312084870";"2000";
